image,caption
103106960_e8a41d64f8.jpg,"Hockey goalie boy in red jacket crouches by goal , with stick ."
103195344_5d2dc613a3.jpg,A man sits and reads a newspaper by a sculpture outside of an office building .
103195344_5d2dc613a3.jpg,A man sitting in front of a metal sculpture in front of a building .
103195344_5d2dc613a3.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
103205630_682ca7285b.jpg,two men setting up a blue ice fishing hut on an iced over lake
103205630_682ca7285b.jpg,"Two men , standing on an ice , looking into something covered with a blue tarp ."
103205630_682ca7285b.jpg,Two people standing outside a blue tent structure on a snowy surface .
1032122270_ea6f0beedb.jpg,Three dogs are playing on grassy hill with a blue sky .
1032122270_ea6f0beedb.jpg,Three dogs are standing in the grass and a person is sitting next to them
1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill
1032460886_4a598ed535.jpg,A man stands in front of a skyscraper .
1032460886_4a598ed535.jpg,A man stands in front of a very tall building .
1032460886_4a598ed535.jpg,There is a skyscraper in the distance with a man walking in front of the camera .
1034276567_49bb87c51c.jpg,A child biting into a baked good .
1034276567_49bb87c51c.jpg,The boy eats his food outside at the table .
1034276567_49bb87c51c.jpg,The boy is eating pizza over a tin dish .
104136873_5b5d41be75.jpg,Three people hang out on top of a big hill .
104136873_5b5d41be75.jpg,Three people overlook a green valley .
104136873_5b5d41be75.jpg,Three people rest on a ledge above the moutains .
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers .
1042020065_fb3d3ba5ba.jpg,A boy looks over a railing at the many boats and rafts below in the water .
1042020065_fb3d3ba5ba.jpg,A young boy overlooking a crowd of inflatable boats .
1042590306_95dea0916c.jpg,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
1042590306_95dea0916c.jpg,A multiracial couple posing for a picture
1042590306_95dea0916c.jpg,Guy in blue shirt biting hand of girl in black striped jacket while another guy watches
1045521051_108ebc19be.jpg,A person sits on the floor and eats in front of a television .
1045521051_108ebc19be.jpg,A young man sits on the floor by the television with a fast food meal in front of him .
1045521051_108ebc19be.jpg,Someone is laying in front of the TV eating food .
1048710776_bb5b0a5c7c.jpg,A group of teens sit on a wall by a beach .
1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach .
1048710776_bb5b0a5c7c.jpg,Several young people sitting on a rail above a crowded beach .
1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall .
1052358063_eae6744153.jpg,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .
1052358063_eae6744153.jpg,a young boy skateboarder jumping on a platform on a skateboard .
105342180_4d4a40b47f.jpg,A woman kayaking down a river .
105342180_4d4a40b47f.jpg,A woman paddles a boat down a river .
105342180_4d4a40b47f.jpg,A woman with a paddle sits in a boat on the water .
1053804096_ad278b25f1.jpg,A girls plays in the surf .
1053804096_ad278b25f1.jpg,A girl with pigtails plays in the water .
1053804096_ad278b25f1.jpg,A young girl in pigtails plays in the water .
1055623002_8195a43714.jpg,A group of young children playing pillow fight on a bed .
1055623002_8195a43714.jpg,Children having a pillow fight .
1055623002_8195a43714.jpg,Four children are having a pillow fight .
1055753357_4fa3d8d693.jpg,Two construction workers are sitting up on the side of a building .
1055753357_4fa3d8d693.jpg,Two construction workers sitting on an I-beam .
1055753357_4fa3d8d693.jpg,Two construction workers take a seat on a steel beam .
1056249424_ef2a2e041c.jpg,"Two boys , one with a yellow and orange ball , play in some water in front of a field ."
1056249424_ef2a2e041c.jpg,Two boys play in a puddle .
1056249424_ef2a2e041c.jpg,Two kids are running and playing in some water .
1056338697_4f7d7ce270.jpg,A blond woman is on the street hailing a taxi .
1056338697_4f7d7ce270.jpg,A woman with blonde hair wearing a blue tube top is waving on the side of the street .
1056338697_4f7d7ce270.jpg,The woman in the blue dress is holding out her arm at oncoming traffic .
1056359656_662cee0814.jpg,A young girl on a train reads a book about train rides .
1056359656_662cee0814.jpg,A young girl sits on a seat and looks at a train pamphlet .
1056359656_662cee0814.jpg,Child sitting down looking at train ride brochure
1056873310_49c665eb22.jpg,A brown dog is running after the black dog .
1056873310_49c665eb22.jpg,Two dogs playing on a beach .
1056873310_49c665eb22.jpg,Two dogs run across stones near a body of water .
1057089366_ca83da0877.jpg,A child jumps off a high diving board into the pool .
1057089366_ca83da0877.jpg,A kid jumps off the diving board and into the swimming pool below .
1057089366_ca83da0877.jpg,The boy is jumping off a high diving board into the pool .
1057210460_09c6f4c6c1.jpg,A man in a tank top stands next to a chrome door .
1057210460_09c6f4c6c1.jpg,A man stands by an elevator with his head down .
1057210460_09c6f4c6c1.jpg,The man is putting on his shirt near an elevator .
1057251835_6ded4ada9c.jpg,A tan dog runs on a sandy beach .
1057251835_6ded4ada9c.jpg,A white dog is running down a rocky beach .
1057251835_6ded4ada9c.jpg,Light brown dog running along the beach .
106490881_5a2dd9b7bd.jpg,A boy smiles for the camera at a beach .
106490881_5a2dd9b7bd.jpg,A young boy in swimming trunks is walking with his arms outstretched on the beach .
106490881_5a2dd9b7bd.jpg,Children playing on the beach .
106514190_bae200f463.jpg,a person on ski 's looks from hill over snow covered landscape
106514190_bae200f463.jpg,A skier is overlooking a snow-covered mountain .
106514190_bae200f463.jpg,A skier pauses on a mountaintop .
1067180831_a59dc64344.jpg,A black and white dog jumps after a yellow toy .
1067180831_a59dc64344.jpg,A black dog is jumping up to catch a purple and green toy .
1067180831_a59dc64344.jpg,A dog jumps to catch a toy .
1067675215_7336a694d6.jpg,A man laying down in middle of street during heavy traffic .
1067675215_7336a694d6.jpg,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .
1067675215_7336a694d6.jpg,A shirtless man is laying down in the middle of a busy street .
1067790824_f3cc97239b.jpg,A woolly dog chases a Doberman on a beach .
1067790824_f3cc97239b.jpg,One dog is chasing another one on the beach .
1067790824_f3cc97239b.jpg,The two large dogs are running through sand .
1072153132_53d2bb1b60.jpg,A dog and a tennis ball .
1072153132_53d2bb1b60.jpg,"A dog is jumping to catch a object thrown at it ,"
1072153132_53d2bb1b60.jpg,A multicolor dog jumping to catch a tennis ball in a grassy field .
107318069_e9f2ef32de.jpg,A group of hot air balloons lit up at night .
107318069_e9f2ef32de.jpg,People watching hot air balloons .
107318069_e9f2ef32de.jpg,Seven large balloons are lined up at nighttime near a crowd .
1075716537_62105738b4.jpg,A young boy in a helmet rides a bike on the road .
1075716537_62105738b4.jpg,The little boy rides his bicycle in a race .
1075716537_62105738b4.jpg,The young boy pedals quickly at a BMX race .
107582366_d86f2d3347.jpg,A group of people gathered around in the dark .
107582366_d86f2d3347.jpg,A group of people sit around a table outside on a porch at night .
107582366_d86f2d3347.jpg,A group of people sit outdoors together at night .
1075867198_27ca2e7efe.jpg,A man in shorts with two black dogs holds a ball throwing toy at the beach .
1075867198_27ca2e7efe.jpg,a man playing with two black dogs on the beach
1075867198_27ca2e7efe.jpg,Man at the beach with two dogs .
1075881101_d55c46bece.jpg,A boy covered in suds has his face wiped clean .
1075881101_d55c46bece.jpg,A child covered in foam is climbing on a black inflatable ramp .
1075881101_d55c46bece.jpg,A person covered in soapy water is getting cleaned off .
1077546505_a4f6c4daa9.jpg,A boy rides down a slide into a small backyard pool .
1077546505_a4f6c4daa9.jpg,A boy sliding down a slide into a pool with colorful tubes .
1077546505_a4f6c4daa9.jpg,A child is falling off a slide onto colored balloons floating on a pool of water .
1077931201_1e0bb83105.jpg,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him .
1077931201_1e0bb83105.jpg,A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .
1077931201_1e0bb83105.jpg,The man is in the pool and throwing a small boy into the air .
1079274291_9aaf896cc1.jpg,Two boys make faces .
1079274291_9aaf896cc1.jpg,"Two young boys are looking at the camera , one smiling , the other sticking his tongue out ."
1079274291_9aaf896cc1.jpg,two young boys making silly faces .
10815824_2997e03d76.jpg,A girl and her horse stand by a fire .
10815824_2997e03d76.jpg,"A man , and girl and two horses are near a contained fire ."
10815824_2997e03d76.jpg,Two people and two horses watching a fire .
1082252566_8c79beef93.jpg,A large skinny dog stands near two smaller dogs int the dirt .
1082252566_8c79beef93.jpg,There are three dogs starring at a ball in the middle of them .
1082252566_8c79beef93.jpg,Three dogs of various sizes .
1082379191_ec1e53f996.jpg,A man and a woman are sitting on a dock together .
1082379191_ec1e53f996.jpg,A man and a woman sitting on a dock .
1082379191_ec1e53f996.jpg,A man and woman sitting on a deck next to a lake .
1084040636_97d9633581.jpg,a large white dog lying on the floor .
1084040636_97d9633581.jpg,A white dog has its head on the ground .
1084040636_97d9633581.jpg,A white dog rests its head on the patio bricks .
1084104085_3b06223afe.jpg,A woman in blue shorts and a white shirt is indoor rock climbing .
1084104085_3b06223afe.jpg,"The girl is in a harness , climbing rocks ."
1084104085_3b06223afe.jpg,Woman climbing an artificial rock wall .
1087168168_70280d024a.jpg,A teenage boy is jumping on an inflatable slide .
1087168168_70280d024a.jpg,A young boy jumping and a young girl seating in an inflatable pool .
1087168168_70280d024a.jpg,Two young kids are playing in the water on an inflated toy .
1087539207_9f77ab3aaf.jpg,Children ride a tractor in a field .
1087539207_9f77ab3aaf.jpg,Several children playing on a Polaris vehicle outdoors .
1087539207_9f77ab3aaf.jpg,The children played on the four wheeler in the field .
1088767354_2acee738cf.jpg,A woman wearing a red costume looks at two other people standing on a street .
1088767354_2acee738cf.jpg,A young woman in a red sequined costume and feather stands on the sidewalk .
1088767354_2acee738cf.jpg,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
108898978_7713be88fc.jpg,Two men are skiing in the snow in a wooded area .
108898978_7713be88fc.jpg,Two skiers are making their way through woodland .
108898978_7713be88fc.jpg,Two skiers are sliding down a trail in the woods .
108899015_bf36131a57.jpg,Two hikers climbing a snowy hill .
108899015_bf36131a57.jpg,Two people are on a snow-covered mountain .
108899015_bf36131a57.jpg,Two people climbing up a snowy mountain .
1089181217_ee1167f7af.jpg,A brown dog running next to grass .
1089181217_ee1167f7af.jpg,A dog is running down a road .
1089181217_ee1167f7af.jpg,A light brown dog runs down a path happily .
1089755335_0bfbfd30e6.jpg,A woman and three children stand on a deck with a fishing pole .
1089755335_0bfbfd30e6.jpg,A woman stands with children on a boardwalk at night overlooking the sea .
1089755335_0bfbfd30e6.jpg,Woman with three children fishing over boardwalk in the evening .
109202756_b97fcdc62c.jpg,A woman in a blue jacket rides a brown pony near water .
109202756_b97fcdc62c.jpg,A young blond woman sitting atop a brown draft horse in the snowy mountains .
109202756_b97fcdc62c.jpg,Woman n blue jacket sits on daft horse near a frozen lake .
109202801_c6381eef15.jpg,Two horses are pulling a woman in a cart .
109202801_c6381eef15.jpg,Two horses pull a carriage driven by a woman over snow covered ground .
109202801_c6381eef15.jpg,Two horses pulling a sled steered by a smiling blond woman .
109260216_85b0be5378.jpg,"A person climbs a tall , flat mountain while holding onto a safety rope ."
109260216_85b0be5378.jpg,A person is climbing a rock while holding onto a white rope .
109260216_85b0be5378.jpg,A person rappels down a steep incline .
109260218_fca831f933.jpg,Shaft of light in a cave shows three spelunkers
109260218_fca831f933.jpg,Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
109260218_fca831f933.jpg,Three rock climbers are posing on big rocks .
1093716555_801aacef79.jpg,A group of hikers are resting on the ground in front of some mountains .
1093716555_801aacef79.jpg,Several hikers rest with their gear in front of a mountain .
1093716555_801aacef79.jpg,The group of hikers is resting in front of a mountain .
1093737381_b313cd49ff.jpg,A woman stands next to a chalk drawing in front of a barn-like structure .
1093737381_b313cd49ff.jpg,A woman stands outside near an elaborate chalk illustration .
1093737381_b313cd49ff.jpg,A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
1094462889_f9966dafa6.jpg,A dog looking at the camera in snow .
1094462889_f9966dafa6.jpg,a dog runs through the snow .
1094462889_f9966dafa6.jpg,A tan dog stand in the snow and looks up .
1095476286_87d4f8664e.jpg,a boy plays in the fountains .
1095476286_87d4f8664e.jpg,A child plays in a fountain .
1095476286_87d4f8664e.jpg,A young boy is jumping through water being sprayed up from the ground .
1095580424_76f0aa8a3e.jpg,A dog runs out of a tunnel on a course .
1095580424_76f0aa8a3e.jpg,The dog is running out of the tunnel on a dog obedience course .
1095580424_76f0aa8a3e.jpg,The small brown and white dog is running out of a small tunnel .
1095590286_c654f7e5a9.jpg,A yellow dog and a black and white dog are running in the dirt .
1095590286_c654f7e5a9.jpg,Two dogs are running in a field .
1095590286_c654f7e5a9.jpg,two dogs running around
1095980313_3c94799968.jpg,A little girl with arms outstretched is posing at the beach .
1095980313_3c94799968.jpg,A young girl walks on a railing in front of the beach .
1095980313_3c94799968.jpg,Little girl in blue swimsuit standing on a handrail near a beach .
1096097967_ac305887b4.jpg,A black and white dog is being soaked with a jet of water in a blue paddling pool .
1096097967_ac305887b4.jpg,A dog sticking its face into the shower from a garden hose .
1096097967_ac305887b4.jpg,A white and black dog is jumping into a pool .
1096165011_cc5eb16aa6.jpg,A red-headed boy swimming underwater .
1096165011_cc5eb16aa6.jpg,A smiling boy swims underwater in a pool .
1096165011_cc5eb16aa6.jpg,The boys smiles underwater at the pool .
1096395242_fc69f0ae5a.jpg,A young boy with his foot outstretched aims a toy at the camera in front of a fireplace .
1096395242_fc69f0ae5a.jpg,A young child plays with his new light-up toy .
1096395242_fc69f0ae5a.jpg,Boy with toy gun pointed at the camera .
109671650_f7bbc297fa.jpg,A boy wearing blue and yellow walking on a cliff edge .
109671650_f7bbc297fa.jpg,A little boy standing high in the air on a rock .
109671650_f7bbc297fa.jpg,A young child is standing alone on some jagged rocks .
109738763_90541ef30d.jpg,A snowmobiler flies through the air .
109738763_90541ef30d.jpg,A snowmobile rider flies through the air on his or her machine in front of tall pine trees .
109738763_90541ef30d.jpg,The man is up in the air .
109738916_236dc456ac.jpg,People pose with helmets and goggles on while riding snowmobiles .
109738916_236dc456ac.jpg,Three people and two snowmobiles .
109738916_236dc456ac.jpg,Two helmeted men sit on yellow snowmobiles while another man stands behind watching .
109823394_83fcb735e1.jpg,Three people on ATV 's outside .
109823394_83fcb735e1.jpg,three people on four wheel ATV 's in a field .
109823394_83fcb735e1.jpg,Three people ride their four wheelers through the field .
109823395_6fb423a90f.jpg,A man on a four wheeler is flying through the air .
109823395_6fb423a90f.jpg,A person is riding an orange ATV in a large empty field .
109823395_6fb423a90f.jpg,Man jumping with all terrain vehicle
109823397_e35154645f.jpg,A man on a four-wheeler jumps near a small building .
109823397_e35154645f.jpg,An ATV is airborne over a field in front of a white structure .
109823397_e35154645f.jpg,Man on four wheeler in the air .
1100214449_d10861e633.jpg,A boy is jumping off the side of a running stone water fountain in front of a building .
1100214449_d10861e633.jpg,A little boy is jumping in front of a fountain .
1100214449_d10861e633.jpg,A little boy is playfully jumping off the side of a fountain .
1104133405_c04a00707f.jpg,A boy walks with a soccer ball near a fence .
1104133405_c04a00707f.jpg,A boy wearing a white t-shirt walks on the grass and carries a soccer ball .
1104133405_c04a00707f.jpg,Small boy carries a soccer ball on a field .
1105959054_9c3a738096.jpg,An artist paints clouds onto a canvas .
1105959054_9c3a738096.jpg,A young girl painting a picture .
1105959054_9c3a738096.jpg,A young girl with braids is painting with water colors on a white paper on the wall .
110595925_f3395c8bd6.jpg,A man in aerodynamic gear riding a bicycle down a road around a sharp curve .
110595925_f3395c8bd6.jpg,A man on a mountain bike is pedaling up a hill .
110595925_f3395c8bd6.jpg,The biker is riding around a curve in the road .
1107246521_d16a476380.jpg,A black dog playing fetch with a ball of rope .
1107246521_d16a476380.jpg,A black dog running after his rope toy .
1107246521_d16a476380.jpg,A large black dog is playing in a grassy yard .
1107471216_4336c9b328.jpg,A young girl steadies her aim with a camera
1107471216_4336c9b328.jpg,Girl with rosy cheeks and lips holding black toy gun .
1107471216_4336c9b328.jpg,There is a kid with a gun .
1110208841_5bb6806afe.jpg,a brown and white dog catches a Frisbee in it mouth in front of a group of people .
1110208841_5bb6806afe.jpg,A brown and white dug jumping up to catch a Frisbee while an audience watches .
1110208841_5bb6806afe.jpg,"A dog jumps to catch a Frisbee , while many people watch ."
1112212364_0c48235fc2.jpg,A baby is stacking rocks on the beach .
1112212364_0c48235fc2.jpg,A small boy is playing with rocks
1112212364_0c48235fc2.jpg,Toddler sits on a pile of rocks .
111497985_38e9f88856.jpg,A woman in a striped shirt climbs up a mountain .
111497985_38e9f88856.jpg,The person has a striped shirt on and is holding on to a rope on a mountain .
111497985_38e9f88856.jpg,The person in the striped shirt is mountain climbing .
111537217_082a4ba060.jpg,A man is rock climbing .
111537217_082a4ba060.jpg,"Man with red shoes , white shirt and grey pants climbing ."
111537217_082a4ba060.jpg,The young man with the white t-shirt and jeans is rappeling up the rock wall .
111537222_07e56d5a30.jpg,A man climbs a rocky wall .
111537222_07e56d5a30.jpg,a rock climber climbs a large rock .
111537222_07e56d5a30.jpg,A woman in purple snakeskin pants climbs a rock .
1115565519_d976d4b1f1.jpg,A child plays with a fountain .
1115565519_d976d4b1f1.jpg,A girl looks at a fountain that sprays water .
1115565519_d976d4b1f1.jpg,The little girl is playing with a toy in a public fountain .
1115679311_245eff2f4b.jpg,A black dog runs along the beach and jumps over a wood barrior .
1115679311_245eff2f4b.jpg,a dog jumping over a small wall at a beach near the water .
1115679311_245eff2f4b.jpg,An animal is running on the beach .
111766423_4522d36e56.jpg,A small bird sits in a person 's hand and eats seeds .
111766423_4522d36e56.jpg,Black and white bird standing on hand of someone holding sunflower seeds
111766423_4522d36e56.jpg,The small bird is clinging to a finger of the hand holding the seeds .
1117972841_2b9261f95f.jpg,A brown dog playing in the sand .
1117972841_2b9261f95f.jpg,A brown dog plays at the beach .
1117972841_2b9261f95f.jpg,A dog is standing in the sand .
1118557877_736f339752.jpg,A small child wades through the water while being guided by another person .
1118557877_736f339752.jpg,A young boy laughs while splashing in the ocean .
1118557877_736f339752.jpg,A young child splashing in water .
1119015538_e8e796281e.jpg,A playful dog is running through the grass .
1119015538_e8e796281e.jpg,The small dog is running across the lawn .
1119015538_e8e796281e.jpg,this is a small beige dog running through a grassy field
1119418776_58e4b93eac.jpg,"A brown , black and white dog is running through a large field with its mouth open ."
1119418776_58e4b93eac.jpg,A dog running in a field .
1119418776_58e4b93eac.jpg,A dog with its mouth open running through a field torwards the camera .
1119463452_69d4eecd08.jpg,A girl swimming in a pool .
1119463452_69d4eecd08.jpg,A little girl in a pink bathing suit swimming in a pool .
1119463452_69d4eecd08.jpg,A little girl swimming in a pool .
1121416483_c7902d0d49.jpg,A little girl standing on her head .
1121416483_c7902d0d49.jpg,A small child doing a handstand on a bed .
1121416483_c7902d0d49.jpg,The girl is upside down on a bed
112178718_87270d9b4d.jpg,A man holds a surfboard on the beach .
112178718_87270d9b4d.jpg,A man with his surfboard stands in the sand .
112178718_87270d9b4d.jpg,Man is standing on white sand and holding a snowboard .
112243673_fd68255217.jpg,Three people on motorbikes follow a trail through dry grass .
112243673_fd68255217.jpg,Three people on two dirt-bikes and one four-wheeler are riding through brown grass .
112243673_fd68255217.jpg,Three people ride off-road bikes through a field surrounded by trees .
1122944218_8eb3607403.jpg,A baby is holding a small black flag with a moon and a star on it .
1122944218_8eb3607403.jpg,A baby wearing a white gown waves a Muslim flag .
1122944218_8eb3607403.jpg,A little toddler dressed in white is smiling while a lady helps him wave a flag .
1124448967_2221af8dc5.jpg,An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped .
1124448967_2221af8dc5.jpg,"A shirtless man in a white cap relaxes in a deck chair , close to three parked bicycles ."
1124448967_2221af8dc5.jpg,"Topless old man wearing slippers , navy blue pants and a white hat while reclining in a chair outside ."
1129704496_4a61441f2c.jpg,Both dogs retrieve the play toy from the water .
1129704496_4a61441f2c.jpg,Two dogs run through the water with a rope in their mouths .
1129704496_4a61441f2c.jpg,Two dogs tug at a chew toy in the surf .
1130017585_1a219257ac.jpg,Three girls make faces as one takes a drink while they stand in a busy street .
1130017585_1a219257ac.jpg,Three women on the street drinking and posing
1130017585_1a219257ac.jpg,Three young women pose for the camera at a parade .
1130369873_d80a1aa59c.jpg,A brown dog splashes in the water while carrying a ball in its mouth .
1130369873_d80a1aa59c.jpg,A brown dog swims through water outdoors with a tennis ball in its mouth .
1130369873_d80a1aa59c.jpg,"A red dog , holding a ball , splashes through vegetation filled water ."
1130401779_8c30182e3e.jpg,Two brown dogs in the water .
1130401779_8c30182e3e.jpg,Two brown dogs running through water .
1130401779_8c30182e3e.jpg,Two dogs splash through the water .
1131155939_b4b457b05e.jpg,"A black lav runs into the water on the beach , with swimmers in the distance and sea kelp in the foreground ."
1131155939_b4b457b05e.jpg,A dog is running in the waves at the beach .
1131155939_b4b457b05e.jpg,"A pile of seaweed sits on the sand , behind it a big black dog is running in the water ."
1131340021_83f46b150a.jpg,"The little boy , in a short sleeved shirt and shorts , is running outside ."
1131340021_83f46b150a.jpg,The little boy is wearing a black pinstripe shirt and walking on a deck .
1131340021_83f46b150a.jpg,Young boy running outside on the pavement .
1131800850_89c7ffd477.jpg,A dog is looking at something near the water .
1131800850_89c7ffd477.jpg,A furry dog attempts to dry itself by shaking the water off its coat .
1131800850_89c7ffd477.jpg,A white and brown dog shaking its self dry .
1131804997_177c3c0640.jpg,Two men sitting in front of a railing are looking at something .
1131804997_177c3c0640.jpg,Two men with backpacks placed in front of them sitting in front of a railing .
1131804997_177c3c0640.jpg,Two older men with backpacks sit at a bus station .
1131932671_c8d17751b3.jpg,A boy jumped up from the green bed .
1131932671_c8d17751b3.jpg,A small child is jumping on a bed .
1131932671_c8d17751b3.jpg,The boy in blue shorts is bouncing on the bed .
1132772170_600610c5df.jpg,a man wearing a yellow shirt standing in the middle of two beds that a boy is jumping on in the background
1132772170_600610c5df.jpg,A young child jumping on the bed as a man looks the other way .
1132772170_600610c5df.jpg,Man standing in the bedroom with little boy jumping into bed .
113678030_87a6a6e42e.jpg,A snowboarder takes a rest on the mountainside .
113678030_87a6a6e42e.jpg,Snowboarders sitting in the snow while skiers take the hill .
113678030_87a6a6e42e.jpg,The snowboarder is sitting down .
1138784872_69ade3f2ab.jpg,A small child in green clothing walks past a store opening and a woman in pink pants .
1138784872_69ade3f2ab.jpg,A small child walks down a sidewalk .
1138784872_69ade3f2ab.jpg,The child in the green one piece suit is walking past a store window .
114051287_dd85625a04.jpg,A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .
